category,case_id,pair_id,file,n_actions,duration_s,vitals_pair_pass,vitals_pass_count,vitals_partial_score,rhythm_pair_pass,rhythm_predicted,rhythm_actual,pair_pass,partial_score,all_vitals_in_tol,all_dirs_match,all_interv_match,mech_match,combined_pair_pass,error,HR_before,HR_actual,HR_predicted,HR_abs_err,HR_within_tol,HR_dir_match,BP_sys_before,BP_sys_actual,BP_sys_predicted,BP_sys_abs_err,BP_sys_within_tol,BP_sys_dir_match,BP_dia_before,BP_dia_actual,BP_dia_predicted,BP_dia_abs_err,BP_dia_within_tol,BP_dia_dir_match,RR_before,RR_actual,RR_predicted,RR_abs_err,RR_within_tol,RR_dir_match,O2Sat_before,O2Sat_actual,O2Sat_predicted,O2Sat_abs_err,O2Sat_within_tol,O2Sat_dir_match,T_before,T_actual,T_predicted,T_abs_err,T_within_tol,T_dir_match
Cardiology,acute_respiratory_distress,p1,Acute Respiratory Distress.json,1,0,False,5,0.9166666666666666,True,sinus,sinus,False,0.90625,False,True,False,True,False,,110,110,110,0,True,True,150,150,150,0,True,True,95,95,95,0,True,True,34,34,34,0,True,True,80,88,98.0,10.0,False,True,36.9,36.9,36.9,0.0,True,True
Cardiology,acute_respiratory_distress,p2,Acute Respiratory Distress.json,0,300,False,3,0.5833333333333334,True,sinus,sinus,False,0.84375,False,False,True,True,False,,110,120,110,10,True,False,150,150,150,0,True,True,95,95,95,0,True,True,34,24,34,10,False,False,88,85,100.0,15.0,False,False,36.9,36.9,36.9,0.0,True,True
Cardiology,acute_respiratory_distress,p3,Acute Respiratory Distress.json,0,488,False,5,0.8333333333333334,True,sinus,sinus,False,0.9375,False,False,True,True,False,,120,120,120,0,True,True,150,150,150,0,True,True,95,95,95,0,True,True,24,24,24,0,True,True,85,82,100.0,18.0,False,False,36.9,36.9,36.9,0.0,True,True
Cardiology,acute_respiratory_distress,p4,Acute Respiratory Distress.json,1,0,True,6,1.0,True,sinus,sinus,False,0.96875,True,True,False,True,False,,120,120,120,0,True,True,150,150,150,0,True,True,95,95,95,0,True,True,24,24,24,0,True,True,85,89,90.0,1.0,True,True,36.9,36.9,36.9,0.0,True,True
Cardiology,acute_respiratory_distress,p5,Acute Respiratory Distress.json,1,0,False,5,0.9166666666666666,True,sinus,sinus,False,0.96875,True,False,True,True,False,,120,120,120,0,True,True,150,150,150,0,True,True,95,95,95,0,True,True,24,24,24,0,True,True,89,92,89,3,True,False,36.9,36.9,36.9,0.0,True,True
Cardiology,acute_respiratory_distress,p6,Acute Respiratory Distress.json,1,45,False,1,0.4166666666666667,True,sinus,sinus,False,0.6875,False,False,False,True,False,,120,90,110.0,20.0,False,True,150,155,145.0,10.0,True,True,95,85,92.0,7.0,True,False,24,12,24,12,False,False,92,94,100.0,6.0,False,True,36.9,36.9,43.0,6.100000000000001,False,False
Cardiology,agitation_and_aortic_dissection,p1,Agitation and Aortic Dissection.json,2,180,False,4,0.75,True,sinus,sinus,False,0.875,False,False,False,True,False,,130,110,120.0,10.0,True,True,240,200,220.0,20.0,False,True,120,100,110.0,10.0,True,True,24,16,24,8,False,False,96,100,98.0,2.0,True,True,36.9,36.9,36.9,0.0,True,True
Cardiology,agitation_and_aortic_dissection,p2,Agitation and Aortic Dissection.json,2,120,False,4,0.75,True,sinus,sinus,False,0.875,False,False,True,False,False,,110,110,90.0,20.0,False,False,200,180,170.0,10.0,True,True,100,95,90.0,5.0,True,False,16,16,16,0,True,True,100,100,100,0,True,True,36.9,36.9,36.9,0.0,True,True
Cardiology,aortic_dissection,p1,Aortic Dissection.json,1,300,False,3,0.75,True,sinus,sinus,False,0.875,False,False,True,False,False,,110,85,100.0,15.0,False,True,210,150,190.0,40.0,False,True,100,96,90.0,6.0,True,False,20,20,20,0,True,True,99,99,99,0,True,True,36.5,36.5,36.5,0.0,True,True
Cardiology,aortic_dissection,p2,Aortic Dissection.json,0,240,False,3,0.5,False,sinus,bradycardia,False,0.78125,False,False,True,False,False,,110,50,110.0,60.0,False,False,210,90,205.0,115.0,False,False,100,60,95.0,35.0,False,False,20,20,20.0,0.0,True,True,99,99,99.0,0.0,True,True,36.5,36.5,36.5,0.0,True,True
