category,case_id,pair_id,file,n_actions,duration_s,pair_pass,partial_score,all_vitals_in_tol,all_dirs_match,all_interv_match,mech_match,drugs_match,error,HR_before,HR_actual,HR_predicted,HR_abs_err,HR_within_tol,HR_dir_match,BP_sys_before,BP_sys_actual,BP_sys_predicted,BP_sys_abs_err,BP_sys_within_tol,BP_sys_dir_match,BP_dia_before,BP_dia_actual,BP_dia_predicted,BP_dia_abs_err,BP_dia_within_tol,BP_dia_dir_match,RR_before,RR_actual,RR_predicted,RR_abs_err,RR_within_tol,RR_dir_match,O2Sat_before,O2Sat_actual,O2Sat_predicted,O2Sat_abs_err,O2Sat_within_tol,O2Sat_dir_match,T_before,T_actual,T_predicted,T_abs_err,T_within_tol,T_dir_match
Cardiology,acute_respiratory_distress,p1,Acute Respiratory Distress.json,1,0,False,0.9393939393939394,False,False,True,True,True,,110,110,110.0,0.0,True,True,150,150,150.0,0.0,True,True,95,95,95.0,0.0,True,True,34,34,34.0,0.0,True,True,80,88,80.0,8.0,False,False,36.9,36.9,36.9,0.0,True,True
Cardiology,acute_respiratory_distress,p2,Acute Respiratory Distress.json,0,300,False,0.8787878787878788,False,False,True,True,True,,110,120,110.0,10.0,True,False,150,150,150.0,0.0,True,True,95,95,95.0,0.0,True,True,34,24,34.0,10.0,False,False,88,85,88.0,3.0,True,False,36.9,36.9,36.9,0.0,True,True
Cardiology,acute_respiratory_distress,p3,Acute Respiratory Distress.json,0,180,False,0.9696969696969697,True,False,True,True,True,,120,120,120.0,0.0,True,True,150,150,150.0,0.0,True,True,95,95,95.0,0.0,True,True,24,24,24.0,0.0,True,True,85,82,85.0,3.0,True,False,36.9,36.9,36.9,0.0,True,True
Cardiology,acute_respiratory_distress,p4,Acute Respiratory Distress.json,1,0,False,0.9393939393939394,False,False,True,True,True,,120,120,120.0,0.0,True,True,150,150,150.0,0.0,True,True,95,95,95.0,0.0,True,True,24,24,24.0,0.0,True,True,85,89,85.0,4.0,False,False,36.9,36.9,36.9,0.0,True,True
Cardiology,acute_respiratory_distress,p5,Acute Respiratory Distress.json,1,0,False,0.9696969696969697,True,False,True,True,True,,120,120,120.0,0.0,True,True,150,150,150.0,0.0,True,True,95,95,95.0,0.0,True,True,24,24,24.0,0.0,True,True,89,92,89.0,3.0,True,False,36.9,36.9,36.9,0.0,True,True
Cardiology,acute_respiratory_distress,p6,Acute Respiratory Distress.json,1,45,False,0.8787878787878788,False,False,True,True,True,,120,90,120.0,30.0,False,False,150,155,150.0,5.0,True,True,95,85,95.0,10.0,True,False,24,12,12.0,0.0,True,True,92,94,92.0,2.0,True,False,36.9,36.9,36.9,0.0,True,True
Cardiology,agitation_and_aortic_dissection,p1,Agitation and Aortic Dissection.json,1,180,False,0.6363636363636364,False,False,False,True,True,,130,110,130.0,20.0,False,False,240,200,240.0,40.0,False,False,120,100,120.0,20.0,False,False,24,16,24.0,8.0,False,False,96,100,96.0,4.0,False,False,36.9,36.9,36.9,0.0,True,True
Cardiology,agitation_and_aortic_dissection,p2,Agitation and Aortic Dissection.json,0,120,True,1.0,True,True,True,True,True,,110,110,110.0,0.0,True,True,200,200,200.0,0.0,True,True,100,100,100.0,0.0,True,True,16,16,16.0,0.0,True,True,100,100,100.0,0.0,True,True,36.9,36.9,36.9,0.0,True,True
Cardiology,agitation_and_aortic_dissection,p3,Agitation and Aortic Dissection.json,1,120,False,0.8484848484848485,False,False,True,False,True,,110,85,110.0,25.0,False,False,200,180,200.0,20.0,False,False,100,95,100.0,5.0,True,True,16,16,16.0,0.0,True,True,100,100,100.0,0.0,True,True,36.9,36.9,36.9,0.0,True,True
Cardiology,agitation_and_aortic_dissection,p4,Agitation and Aortic Dissection.json,0,120,True,1.0,True,True,True,True,True,,85,85,85.0,0.0,True,True,180,180,180.0,0.0,True,True,95,95,95.0,0.0,True,True,16,16,16.0,0.0,True,True,100,100,100.0,0.0,True,True,36.9,36.9,36.9,0.0,True,True
