category,case_id,pair_id,file,n_actions,duration_s,vitals_pair_pass,rhythm_pair_pass,rhythm_predicted,rhythm_actual,pair_pass,partial_score,all_vitals_in_tol,all_dirs_match,all_interv_match,mech_match,combined_pair_pass,error,HR_before,HR_actual,HR_predicted,HR_abs_err,HR_within_tol,HR_dir_match,BP_sys_before,BP_sys_actual,BP_sys_predicted,BP_sys_abs_err,BP_sys_within_tol,BP_sys_dir_match,BP_dia_before,BP_dia_actual,BP_dia_predicted,BP_dia_abs_err,BP_dia_within_tol,BP_dia_dir_match,RR_before,RR_actual,RR_predicted,RR_abs_err,RR_within_tol,RR_dir_match,O2Sat_before,O2Sat_actual,O2Sat_predicted,O2Sat_abs_err,O2Sat_within_tol,O2Sat_dir_match,T_before,T_actual,T_predicted,T_abs_err,T_within_tol,T_dir_match
Cardiology,acute_respiratory_distress,p1,Acute Respiratory Distress.json,1,0,False,True,sinus,sinus,False,0.96875,False,True,True,True,False,,110,110,110.0,0.0,True,True,150,150,150.0,0.0,True,True,95,95,95.0,0.0,True,True,34,34,34.0,0.0,True,True,80,88,82.4,5.599999999999994,False,True,36.9,36.9,36.9,0.0,True,True
Cardiology,acute_respiratory_distress,p2,Acute Respiratory Distress.json,0,300,False,True,sinus,sinus,False,0.90625,False,False,True,True,False,,110,120,110.0,10.0,True,False,150,150,150.0,0.0,True,True,95,95,95.0,0.0,True,True,34,24,34.0,10.0,False,False,88,85,84.25,0.75,True,True,36.9,36.9,36.9,0.0,True,True
Cardiology,acute_respiratory_distress,p3,Acute Respiratory Distress.json,0,488,False,True,sinus,sinus,False,0.96875,False,True,True,True,False,,120,120,120.0,0.0,True,True,150,150,150.0,0.0,True,True,95,95,95.0,0.0,True,True,24,24,24.0,0.0,True,True,85,82,78.9,3.0999999999999943,False,True,36.9,36.9,36.9,0.0,True,True
Cardiology,acute_respiratory_distress,p4,Acute Respiratory Distress.json,1,0,False,True,sinus,sinus,False,0.9375,False,False,True,True,False,,120,120,120.0,0.0,True,True,150,150,150.0,0.0,True,True,95,95,95.0,0.0,True,True,24,24,24.0,0.0,True,True,85,89,85.96000000000001,3.039999999999992,False,False,36.9,36.9,36.9,0.0,True,True
Cardiology,acute_respiratory_distress,p5,Acute Respiratory Distress.json,1,0,False,True,sinus,sinus,False,0.96875,True,False,True,True,False,,120,120,120.0,0.0,True,True,150,150,150.0,0.0,True,True,95,95,95.0,0.0,True,True,24,24,24.0,0.0,True,True,89,92,89.0,3.0,True,False,36.9,36.9,36.9,0.0,True,True
Cardiology,acute_respiratory_distress,p6,Acute Respiratory Distress.json,1,45,False,True,sinus,sinus,False,0.875,False,False,True,True,False,,120,90,120.0,30.0,False,False,150,155,150.0,5.0,True,True,95,85,95.0,10.0,True,False,24,12,12.0,0.0,True,True,92,94,91.8125,2.1875,True,False,36.9,36.9,36.9,0.0,True,True
Cardiology,agitation_and_aortic_dissection,p1,Agitation and Aortic Dissection.json,2,180,False,True,sinus,sinus,False,0.6875,False,False,True,True,False,,130,110,130.0,20.0,False,False,240,200,240.0,40.0,False,False,120,100,120.0,20.0,False,False,24,16,24.0,8.0,False,False,96,100,96.815,3.1850000000000023,False,False,36.9,36.9,36.9,0.0,True,True
Cardiology,agitation_and_aortic_dissection,p2,Agitation and Aortic Dissection.json,2,120,False,True,sinus,sinus,False,0.875,False,False,True,False,False,,110,110,102.0,8.0,True,False,200,180,198.5,18.5,False,False,100,95,99.25,4.25,True,True,16,16,16.0,0.0,True,True,100,100,100.0,0.0,True,True,36.9,36.9,36.9,0.0,True,True
Cardiology,aortic_dissection,p1,Aortic Dissection.json,1,300,False,True,sinus,sinus,False,0.875,False,False,True,False,False,,110,85,102.78999629911334,17.78999629911334,False,True,210,150,210.0,60.0,False,False,100,96,100.0,4.0,True,True,20,20,20.0,0.0,True,True,99,99,99.0,0.0,True,True,36.5,36.5,36.5,0.0,True,True
Cardiology,aortic_dissection,p2,Aortic Dissection.json,0,240,False,False,sinus,bradycardia,False,0.78125,False,False,True,False,False,,110,50,110.0,60.0,False,False,210,90,210.0,120.0,False,False,100,60,100.0,40.0,False,False,20,20,20.0,0.0,True,True,99,99,99.0,0.0,True,True,36.5,36.5,36.5,0.0,True,True
