source_file,case_id,pair_id,pair_type,kind_hint,target_vitals,rule_direction_accuracy,hybrid_direction_accuracy,pure_llm_direction_accuracy,rule_passed,hybrid_passed,pure_llm_passed,failed_engines,passed_engines,failure_pattern,hybrid_delta_direction_accuracy_vs_rule,pure_llm_delta_direction_accuracy_vs_rule,pure_llm_delta_direction_accuracy_vs_hybrid,rule_normalized_l2,hybrid_normalized_l2,pure_llm_normalized_l2,hybrid_delta_normalized_l2_vs_rule,pure_llm_delta_normalized_l2_vs_rule,pure_llm_delta_normalized_l2_vs_hybrid,best_engine_by_l2,best_normalized_l2,rule_predicted_vitals,hybrid_predicted_vitals,pure_llm_predicted_vitals,hybrid_llm_adjustments,hybrid_llm_reasoning,pure_llm_reasoning,hybrid_llm_api_error,pure_llm_llm_api_error
transitions/Cardiology/Acute Respiratory Distress.json,acute_respiratory_distress_pulmonary_edema,p1,physiology_response,oxygen_support,"[""O2Sat""]",1.0,1.0,1.0,True,True,True,[],"[""rule"", ""hybrid"", ""pure_llm""]",rule_pass_hybrid_pass_pure_llm_pass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tie,0.0,"{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 110, ""O2Sat"": 88, ""RR"": 32, ""T"": 36.9}","{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 110, ""O2Sat"": 88, ""RR"": 32, ""T"": 36.9}","{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 110, ""O2Sat"": 88, ""RR"": 34, ""T"": 36.9}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": null, ""O2Sat"": 0, ""RR"": null, ""T"": null}",null,null,,
transitions/Cardiology/Acute Respiratory Distress.json,acute_respiratory_distress_pulmonary_edema,p2,time_progression,no_action,"[""HR"", ""RR"", ""O2Sat""]",0.6666666666666666,0.3333333333333333,0.6666666666666666,False,False,False,"[""rule"", ""hybrid"", ""pure_llm""]",[],rule_fail_hybrid_fail_pure_llm_fail,-0.3333333333333333,0.0,0.3333333333333333,1.5620499351813308,2.4515301344262523,2.8142494558940574,0.8894801992449215,1.2521995207127266,0.36271932146780506,rule,1.5620499351813308,"{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 110, ""O2Sat"": 85, ""RR"": 30, ""T"": 36.9}","{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 115, ""O2Sat"": 85, ""RR"": 36, ""T"": 36.9}","{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 118, ""O2Sat"": 84, ""RR"": 38, ""T"": 36.9}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 5, ""O2Sat"": null, ""RR"": 6, ""T"": null}",null,null,,
transitions/Cardiology/Acute Respiratory Distress.json,acute_respiratory_distress_pulmonary_edema,p3,time_progression,no_action,"[""O2Sat""]",1.0,1.0,1.0,True,True,True,[],"[""rule"", ""hybrid"", ""pure_llm""]",rule_pass_hybrid_pass_pure_llm_pass,0.0,0.0,0.0,0.2,0.2,0.4,0.0,0.2,0.2,tie,0.2,"{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 81, ""RR"": 24, ""T"": null}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 81, ""RR"": 24, ""T"": null}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 80, ""RR"": 24, ""T"": null}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": null, ""O2Sat"": null, ""RR"": null, ""T"": null}",null,null,,
transitions/Cardiology/Acute Respiratory Distress.json,acute_respiratory_distress_pulmonary_edema,p4,physiology_response,oxygen_support,"[""O2Sat""]",1.0,1.0,1.0,True,True,True,[],"[""rule"", ""hybrid"", ""pure_llm""]",rule_pass_hybrid_pass_pure_llm_pass,0.0,0.0,0.0,0.4,0.0,0.4,-0.4,0.0,0.4,hybrid,0.0,"{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 91, ""RR"": 24, ""T"": null}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 89, ""RR"": 24, ""T"": null}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 91, ""RR"": 24, ""T"": null}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": null, ""O2Sat"": -2, ""RR"": null, ""T"": null}",null,null,,
transitions/Cardiology/Acute Respiratory Distress.json,acute_respiratory_distress_pulmonary_edema,p5,physiology_response,oxygen_support,"[""O2Sat""]",1.0,1.0,1.0,True,True,True,[],"[""rule"", ""hybrid"", ""pure_llm""]",rule_pass_hybrid_pass_pure_llm_pass,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,tie,0.2,"{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 93, ""RR"": 24, ""T"": null}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 93, ""RR"": 24, ""T"": null}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 91, ""RR"": 24, ""T"": null}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": null, ""O2Sat"": 0, ""RR"": null, ""T"": null}",null,null,,
transitions/Cardiology/Acute Respiratory Distress.json,acute_respiratory_distress_pulmonary_edema,p6,physiology_response,airway_management,"[""HR"", ""BP_sys"", ""BP_dia"", ""O2Sat""]",0.75,0.75,0.75,False,False,False,"[""rule"", ""hybrid"", ""pure_llm""]",[],rule_fail_hybrid_fail_pure_llm_fail,0.0,0.0,0.0,1.8814887722226779,1.8814887722226779,2.7964262908219126,0.0,0.9149375185992348,0.9149375185992348,tie,1.8814887722226779,"{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 105, ""O2Sat"": 95, ""RR"": 12, ""T"": null}","{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 105, ""O2Sat"": 95, ""RR"": 12, ""T"": null}","{""BP_dia"": 88, ""BP_sys"": 138, ""HR"": 112, ""O2Sat"": 94, ""RR"": 24, ""T"": null}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": null, ""O2Sat"": null, ""RR"": null, ""T"": null}",null,null,,
transitions/Cardiology/Aortic Dissection.json,aortic_dissection,p1,physiology_response,rate_control,"[""HR"", ""BP_sys"", ""BP_dia""]",0.6666666666666666,0.6666666666666666,0.6666666666666666,False,False,False,"[""rule"", ""hybrid"", ""pure_llm""]",[],rule_fail_hybrid_fail_pure_llm_fail,0.0,0.0,0.0,6.034069936618235,4.075536774462966,4.075536774462966,-1.9585331621552688,-1.9585331621552688,0.0,tie,4.075536774462966,"{""BP_dia"": 100, ""BP_sys"": 210, ""HR"": 90, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": 90, ""BP_sys"": 190, ""HR"": 90, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": 90, ""BP_sys"": 190, ""HR"": 90, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": -10, ""BP_sys"": -20, ""HR"": null, ""O2Sat"": null, ""RR"": null, ""T"": null}",null,null,,
transitions/Cardiology/Aortic Dissection.json,aortic_dissection,p2,physiology_response,vasodilator,"[""HR"", ""BP_sys"", ""BP_dia""]",0.6666666666666666,0.6666666666666666,1.0,False,False,True,"[""rule"", ""hybrid""]","[""pure_llm""]",rule_fail_hybrid_fail_pure_llm_pass,0.0,0.33333333333333337,0.33333333333333337,6.609841147864296,6.609841147864296,2.9154759474226504,0.0,-3.694365200441646,-3.694365200441646,pure_llm,2.9154759474226504,"{""BP_dia"": 92, ""BP_sys"": 195, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": 92, ""BP_sys"": 195, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": 80, ""BP_sys"": 160, ""HR"": 100, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": null, ""O2Sat"": null, ""RR"": null, ""T"": null}",null,null,,
transitions/Cardiology/Aortic Dissection.json,aortic_dissection,p3,physiology_response,vasodilator,"[""BP_sys"", ""BP_dia""]",0.5,0.5,0.5,False,False,False,"[""rule"", ""hybrid"", ""pure_llm""]",[],rule_fail_hybrid_fail_pure_llm_fail,0.0,0.0,0.0,0.9433981132056605,0.9433981132056605,1.4142135623730951,0.0,0.4708154491674347,0.4708154491674347,tie,0.9433981132056605,"{""BP_dia"": 92, ""BP_sys"": 195, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": 92, ""BP_sys"": 195, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": 90, ""BP_sys"": 190, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": null, ""O2Sat"": null, ""RR"": null, ""T"": null}",null,null,,
transitions/Cardiology/Aortic Dissection.json,aortic_dissection,p4,physiology_response,anticoagulation,"[""HR"", ""BP_sys"", ""BP_dia"", ""RR"", ""O2Sat""]",0.0,0.0,0.0,False,False,False,"[""rule"", ""hybrid"", ""pure_llm""]",[],rule_fail_hybrid_fail_pure_llm_fail,0.0,0.0,0.0,32.71146587971869,32.71146587971869,32.71146587971869,0.0,0.0,0.0,tie,32.71146587971869,"{""BP_dia"": 100, ""BP_sys"": 210, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": 100, ""BP_sys"": 210, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": 100, ""BP_sys"": 210, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": null, ""O2Sat"": null, ""RR"": null, ""T"": null}",null,null,,
